ID,GBH_12m,Sex,EthnicAppearance_cleaned,Age,InitialRisk,AccHowKnown,Known 1,Known 2,ProceedingsType,Crimes in pre,Crimes in pre 1,DV in Pre,DV in Pre 1
8507,No,F,Asian,21,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
9071,No,F,Asian,21,S,Ex Girlfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
11252,No,M,Asian,21,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
12449,No,M,Asian,22,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
12529,No,F,Asian,22,M,Wife of victim,Partner/Spouse,Current,First time charged,0,No,0,No
11595,No,M,Asian,22,S,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
8204,No,M,Asian,22,S,Husband of victim,Partner/Spouse,Current,Adult caution,1,Yes,0,No
2736,No,M,Asian,23,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
4157,No,M,Asian,23,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
342,No,M,Asian,23,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,0,No
12226,No,M,Asian,23,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Third and subsequent time charged,1,Yes,0,No
5213,No,M,Asian,23,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,1,Yes
2684,No,M,Asian,23,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
9825,No,F,Asian,23,S,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11136,No,M,Asian,23,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
12264,No,M,Asian,23,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Third and subsequent time charged,0,No,0,No
5645,No,F,Asian,24,M,Girlfriend of victim,Boy/Girlfriend,Current,Adult caution,0,No,0,No
6520,No,M,Asian,24,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11468,No,M,Asian,24,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
5458,No,M,Asian,24,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,2,Yes,1,Yes
11139,No,F,Asian,24,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11873,No,F,Asian,24,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
335,No,M,Asian,24,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,0,No
10789,No,M,Asian,25,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11268,No,M,Asian,25,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
12071,No,F,Asian,25,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
2286,Yes,M,Asian,25,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,4,Yes,2,Yes
2286,Yes,M,Asian,25,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,4,Yes,2,Yes
4146,No,F,Asian,25,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
7148,No,M,Asian,25,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
12140,No,M,Asian,25,S,Husband of victim,Partner/Spouse,Current,First time charged,0,No,0,No
12140,No,M,Asian,25,S,Husband of victim,Partner/Spouse,Current,First time charged,0,No,0,No
5119,No,M,Asian,26,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
6898,No,M,Asian,26,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
7226,No,M,Asian,26,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
9829,No,M,Asian,26,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11251,No,M,Asian,26,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
12533,No,M,Asian,26,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
6244,No,M,Asian,26,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,0,No
2615,No,M,Asian,26,Unknown,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
4722,No,M,Asian,26,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
6157,No,M,Asian,26,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
8197,No,M,Asian,26,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
12010,No,M,Asian,26,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
12229,No,M,Asian,26,S,Boyfriend of victim,Boy/Girlfriend,Current,Third and subsequent time charged,0,No,0,No
9997,No,M,Asian,26,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,0,No
1630,No,M,Asian,27,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
4129,No,M,Asian,27,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11724,No,M,Asian,27,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Summons,0,No,0,No
1237,No,M,Asian,27,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
2542,No,F,Asian,27,S,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
4140,No,M,Asian,27,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
5418,No,M,Asian,27,S,Ex Husband of victim,Partner/Spouse,Ex,Adult caution,0,No,0,No
5841,No,F,Asian,28,M,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
7823,Yes,M,Asian,28,H,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
9422,Yes,M,Asian,28,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11494,No,M,Asian,28,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
2215,No,M,Asian,28,M,Ex Husband of victim,Partner/Spouse,Ex,Charge/further charge,1,Yes,1,Yes
6460,Yes,M,Asian,28,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
6460,No,M,Asian,28,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
7468,No,F,Asian,28,S,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11250,No,F,Asian,28,S,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
12054,Yes,M,Asian,28,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
4262,No,M,Asian,28,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,0,No
6909,No,M,Asian,29,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Second time charged,0,No,0,No
10950,No,M,Asian,29,H,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
12519,No,M,Asian,29,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Third and subsequent time charged,0,No,0,No
10040,No,M,Asian,29,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
10708,No,F,Asian,29,S,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11593,No,M,Asian,29,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
12446,No,M,Asian,29,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
5955,No,M,Asian,30,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
7801,No,M,Asian,30,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
12444,No,F,Asian,30,M,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
3493,No,M,Asian,30,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,0,No
2024,No,M,Asian,30,S,Same Sex Ex intimate Partner,Boy/Girlfriend,Ex,Postal Charge Requisition,0,No,0,No
4447,No,F,Asian,30,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
5913,No,M,Asian,30,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
9450,No,F,Asian,30,S,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11162,No,M,Asian,30,S,Ex Husband of victim,Partner/Spouse,Ex,Charge/further charge,0,No,0,No
11406,No,F,Asian,30,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11902,No,M,Asian,30,S,Ex Common Law Husband of victim,Partner/Spouse,Ex,Charge/further charge,0,No,0,No
706,No,M,Asian,31,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
2547,No,M,Asian,31,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
5104,No,M,Asian,31,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
6286,No,M,Asian,31,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
9723,No,M,Asian,31,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
9723,No,M,Asian,31,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
11717,Yes,M,Asian,31,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
1446,Yes,M,Asian,32,H,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
2346,No,F,Asian,32,M,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
3133,No,M,Asian,32,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
5122,No,M,Asian,32,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
6276,No,F,Asian,32,M,Wife of victim,Partner/Spouse,Current,Adult caution,0,No,0,No
11161,No,M,Asian,32,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11190,No,M,Asian,32,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
12451,No,M,Asian,32,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
12451,No,M,Asian,32,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
2428,No,M,Asian,32,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
4520,No,M,Asian,33,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
5326,No,M,Asian,33,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
7448,No,M,Asian,33,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11615,No,M,Asian,33,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11662,No,M,Asian,33,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
12250,Yes,M,Asian,33,H,Husband of victim,Partner/Spouse,Current,Third and subsequent time charged,0,No,0,No
4639,No,M,Asian,33,H,Ex Girlfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,1,Yes
6274,No,M,Asian,33,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
6557,No,F,Asian,33,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
11562,No,M,Asian,33,S,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11915,No,M,Asian,33,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
12467,No,M,Asian,33,S,Husband of victim,Partner/Spouse,Current,First time charged,0,No,0,No
3433,No,M,Asian,34,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
9833,No,M,Asian,34,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
10952,Yes,M,Asian,34,H,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
12194,Yes,F,Asian,34,H,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,0,No
5982,No,M,Asian,34,H,Husband of victim,Partner/Spouse,Current,Charge/further charge,1,Yes,1,Yes
4544,Yes,M,Asian,34,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
8943,No,M,Asian,34,S,Husband of victim,Partner/Spouse,Current,Adult caution,0,No,0,No
10971,Yes,M,Asian,34,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11272,Yes,M,Asian,34,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11477,No,M,Asian,34,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
10045,Yes,M,Asian,34,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,1,Yes,1,Yes
7538,No,M,Asian,35,H,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
10713,No,M,Asian,35,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
11909,No,M,Asian,35,M,Common Law Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
1437,No,M,Asian,35,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,0,No
824,No,M,Asian,35,M,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,1,Yes,1,Yes
12528,No,M,Asian,35,M,Boyfriend of victim,Boy/Girlfriend,Current,Third and subsequent time charged,1,Yes,1,Yes
1458,No,M,Asian,35,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
3596,No,M,Asian,35,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
7463,No,F,Asian,35,S,Wife of victim,Partner/Spouse,Current,Adult caution,0,No,0,No
9981,No,F,Asian,35,S,Wife of victim,Partner/Spouse,Current,Adult caution,0,No,0,No
8918,No,M,Asian,36,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11414,No,M,Asian,36,M,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
37,No,M,Asian,36,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
2698,No,M,Asian,36,S,Husband of victim,Partner/Spouse,Current,Adult caution,0,No,0,No
4124,No,M,Asian,36,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
9983,No,M,Asian,36,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11178,No,M,Asian,36,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
7097,No,M,Asian,37,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
9045,No,M,Asian,37,M,Husband of victim,Partner/Spouse,Current,First time charged,0,No,0,No
4315,No,M,Asian,37,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,1,Yes,1,Yes
4699,No,M,Asian,37,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
9409,No,M,Asian,37,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
9737,No,M,Asian,37,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11177,No,F,Asian,37,S,Girlfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
12038,No,M,Asian,37,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
12178,No,M,Asian,37,S,Husband of victim,Partner/Spouse,Current,First time charged,0,No,0,No
12476,No,F,Asian,37,Unknown,Ex Girlfriend of victim,Boy/Girlfriend,Ex,Second time charged,0,No,0,No
7007,No,M,Asian,37,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,1,Yes,0,No
11275,No,M,Asian,37,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,1,Yes,0,No
8159,Yes,M,Asian,37,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,2,Yes,0,No
1097,No,F,Asian,38,H,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
7887,No,M,Asian,38,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
12468,No,M,Asian,38,M,Husband of victim,Partner/Spouse,Current,Third and subsequent time charged,1,Yes,0,No
9877,No,M,Asian,38,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
1440,No,M,Asian,39,H,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
12464,No,M,Asian,39,M,Husband of victim,Partner/Spouse,Current,First time charged,0,No,0,No
12153,No,M,Asian,39,H,Boyfriend of victim,Boy/Girlfriend,Current,First time charged,3,Yes,0,No
3617,Yes,M,Asian,39,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,4,Yes,2,Yes
439,No,M,Asian,39,S,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Postal Charge Requisition,0,No,0,No
5114,No,M,Asian,39,S,Ex Husband of victim,Partner/Spouse,Ex,Charge/further charge,0,No,0,No
11584,No,M,Asian,39,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11894,No,M,Asian,39,S,Husband of victim,Partner/Spouse,Current,Adult caution,0,No,0,No
12251,No,M,Asian,39,S,Ex Husband of victim,Partner/Spouse,Ex,Third and subsequent time charged,0,No,0,No
101,No,M,Asian,39,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,2,Yes,1,Yes
3617,No,M,Asian,39,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,4,Yes,2,Yes
2874,No,M,Asian,40,H,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
9689,No,F,Asian,40,M,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11557,No,M,Asian,40,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11924,No,M,Asian,40,H,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
7880,No,M,Asian,40,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
9701,Yes,M,Asian,40,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
10959,No,M,Asian,40,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11564,No,M,Asian,40,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
117,No,M,Asian,41,H,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
117,No,M,Asian,41,H,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
5151,No,M,Asian,41,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
5151,No,M,Asian,41,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
8919,Yes,M,Asian,41,H,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11922,No,F,Asian,41,M,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
5257,No,M,Asian,41,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11563,No,M,Asian,41,Unknown,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,0,No,0,No
312,No,M,Asian,42,M,Ex Husband of victim,Partner/Spouse,Ex,Charge/further charge,0,No,0,No
5842,No,M,Asian,42,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11916,No,M,Asian,42,M,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
3451,No,M,Asian,42,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
6225,No,M,Asian,42,S,Boyfriend of victim,Boy/Girlfriend,Current,Adult caution,0,No,0,No
11721,No,M,Asian,42,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
12151,No,M,Asian,42,S,Husband of victim,Partner/Spouse,Current,First time charged,0,No,0,No
1412,No,M,Asian,43,H,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
7748,No,M,Asian,43,M,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
1005,No,M,Asian,43,H,Ex Boyfriend of victim,Boy/Girlfriend,Ex,Charge/further charge,1,Yes,0,No
4242,No,M,Asian,43,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
5581,Yes,F,Asian,43,S,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
10260,No,M,Asian,43,S,Boyfriend of victim,Boy/Girlfriend,Current,Charge/further charge,0,No,0,No
10299,No,M,Asian,43,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11959,No,M,Asian,43,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,1,Yes,1,Yes
2100,No,M,Asian,44,H,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
7794,No,M,Asian,44,H,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
9049,No,M,Asian,44,H,Husband of victim,Partner/Spouse,Current,Charge/further charge,1,Yes,0,No
659,No,M,Asian,44,S,Ex Husband of victim,Partner/Spouse,Ex,Charge/further charge,0,No,0,No
3571,No,M,Asian,44,S,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
3635,No,M,Asian,44,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
4426,No,F,Asian,44,S,Wife of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11273,No,M,Asian,44,S,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
11657,Yes,M,Asian,45,H,Husband of victim,Partner/Spouse,Current,Charge/further charge,0,No,0,No
